Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,106.459999,106.470001,103.690002,103.940002,103.940002,10283400
2015-01-02,104.239998,104.720001,102.519997,103.599998,103.599998,12303400
2015-01-05,102.760002,103.019997,99.900002,101.000000,101.000000,18337000
2015-01-06,101.250000,103.849998,100.110001,103.320000,103.320000,15720400
2015-01-07,104.589996,104.739998,102.029999,102.129997,102.129997,11052200
2015-01-08,102.949997,105.339996,102.680000,105.029999,105.029999,12942100
2015-01-09,105.239998,105.300003,102.889999,103.019997,103.019997,10167300
2015-01-12,103.199997,103.360001,101.209999,101.620003,101.620003,7997200
2015-01-13,102.589996,102.849998,100.010002,100.769997,100.769997,11294400
2015-01-14,99.279999,100.180000,98.059998,99.580002,99.580002,17808000
2015-01-15,99.669998,100.139999,96.019997,96.309998,96.309998,18260100
2015-01-16,96.089996,97.800003,95.519997,96.889999,96.889999,13327900
2015-01-20,98.300003,100.209999,97.589996,100.040001,100.040001,12025600
2015-01-21,100.750000,103.860001,100.320000,103.290001,103.290001,15186900
2015-01-22,104.599998,104.919998,103.099998,104.000000,104.000000,11433000
2015-01-23,104.019997,105.199997,103.019997,103.110001,103.110001,9847400
2015-01-26,104.400002,105.129997,103.330002,103.989998,103.989998,10664900
2015-01-27,102.889999,103.570000,100.580002,102.940002,102.940002,15659900
2015-01-28,100.300003,101.489998,97.790001,98.449997,98.449997,42144700
2015-01-29,90.529999,90.739998,87.360001,89.809998,89.809998,76561400
2015-01-30,89.599998,92.000000,88.110001,89.080002,89.080002,36806900
2015-02-02,91.129997,91.660004,88.610001,90.129997,90.129997,18865300
2015-02-03,91.650002,91.650002,89.900002,90.610001,90.610001,13447900
2015-02-04,90.989998,91.879997,89.480003,90.000000,90.000000,14643600
2015-02-05,89.580002,89.839996,86.099998,87.000000,87.000000,28926200
2015-02-06,87.110001,87.400002,85.419998,85.680000,85.680000,17587600
2015-02-09,85.830002,86.750000,85.470001,86.000000,86.000000,12109500
2015-02-10,87.010002,87.470001,86.519997,87.260002,87.260002,12043300
2015-02-11,87.580002,87.699997,85.820000,86.000000,86.000000,12391900
